time,n.risk,n.event,n.censor,estimate,std.error,conf.high,conf.low
0,,,,1,,1,1
1,46,13,0,"0,7173913043","0,0925413414","0,8600574077","0,5983906178"
2,33,15,0,"0,3913043478","0,1838924281","0,5611050689","0,2728884502"
3,18,4,0,"0,3043478261","0,222911285","0,4710994897","0,1966200373"
4,14,1,0,"0,2826086957","0,2349126359","0,4478612819","0,1783312782"
5,13,1,0,"0,2608695652","0,2481817941","0,4243030372","0,1603875629"
6,12,3,0,"0,1956521739","0,2989514688","0,3515220962","0,1088972033"
7,9,1,0,"0,1739130435","0,3213422935","0,3264819768","0,09264139781"
9,8,2,0,"0,1304347826","0,3806934938","0,275068151","0,06185097203"
11,6,1,0,"0,1086956522","0,4222095091","0,2486552072","0,04751456821"
12,5,0,5,"0,1086956522","0,4222095091","0,2486552072","0,04751456821"